Latitude,Longitude,Municipality,Ward
43.46750655,-80.45676691,Kitchener,K01
43.44183516,-80.42731253,Kitchener,K02
43.41279575,-80.42895939,Kitchener,K03
43.38286678,-80.43175205,Kitchener,K04
43.38415865,-80.4921803,Kitchener,K05
43.41523759,-80.48778382,Kitchener,K06
43.4253858,-80.54489523,Kitchener,K07
43.43707244,-80.51932757,Kitchener,K08
43.44130888,-80.48855592,Kitchener,K09
43.45767164,-80.48457583,Kitchener,K10
43.44702464,-80.56254102,Waterloo,W01
43.46752806,-80.59171463,Waterloo,W02
43.49248702,-80.56311178,Waterloo,W03
43.50533723,-80.51575545,Waterloo,W04
43.48892327,-80.49853611,Waterloo,W05
43.47046663,-80.55186311,Waterloo,W06
43.46636455,-80.52301221,Waterloo,W07
